"PK","SK","close","created_at","high","low","open","pair","timeframe_minutes","timestamp","volume","vwap"
"PAIR#XXBTZUSD","TF#1m#TS#1778395740","80704.9","1778438965","80705","80692.1","80692.1","XXBTZUSD","1","1778395740","0.19103384","80701.1"
"PAIR#XXBTZUSD","TF#1m#TS#1778395800","80705","1778439025","80705","80704.9","80705","XXBTZUSD","1","1778395800","3.81777454","80704.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778395860","80705","1778439085","80705","80704.9","80705","XXBTZUSD","1","1778395860","0.13814591","80704.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778395920","80704.9","1778439145","80705","80704.9","80704.9","XXBTZUSD","1","1778395920","0.01514505","80704.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778395980","80704.9","1778439205","80705","80704.9","80705","XXBTZUSD","1","1778395980","0.01041853","80704.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778396040","80705","1778439265","80705","80704.9","80705","XXBTZUSD","1","1778396040","0.0320523","80704.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778396100","80704.9","1778439325","80705","80704.9","80704.9","XXBTZUSD","1","1778396100","0.00949586","80704.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778396160","80704.9","1778439385","80705","80704.9","80705","XXBTZUSD","1","1778396160","0.0115874","80704.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778396220","80705","1778439445","80705","80704.9","80704.9","XXBTZUSD","1","1778396220","0.00109077","80704.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778396280","80705","1778439505","80705","80704.9","80704.9","XXBTZUSD","1","1778396280","0.01406568","80704.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778396340","80704.9","1778439565","80705","80704.9","80705","XXBTZUSD","1","1778396340","0.00508186","80704.9"
"PAIR#XXBTZUSD","TF#1m#TS#1778396400","80715.9","1778439625","80715.9","80705","80705","XXBTZUSD","1","1778396400","6.5507313","80705.2"
"PAIR#XXBTZUSD","TF#1m#TS#1778396460","80744.9","1778439685","80744.9","80715.8","80715.8","XXBTZUSD","1","1778396460","0.0923701","80729.2"
"PAIR#XXBTZUSD","TF#1m#TS#1778396520","80744.9","1778439745","80744.9","80744.8","80744.9","XXBTZUSD","1","1778396520","0.01838455","80744.8"
"PAIR#XXBTZUSD","TF#1m#TS#1778396580","80767.5","1778439805","80767.5","80744.9","80744.9","XXBTZUSD","1","1778396580","1.21385477","80752.2"
"PAIR#XXBTZUSD","TF#1m#TS#1778396640","80738.2","1778439865","80766.3","80738.2","80766.3","XXBTZUSD","1","1778396640","0.09690124","80761.1"
"PAIR#XXBTZUSD","TF#1m#TS#1778396700","80738.2","1778439925","80738.3","80738.2","80738.2","XXBTZUSD","1","1778396700","0.079264","80738.2"
